,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
0,"Orig: [2, 3, ['हमारे']], Cor: [2, 3, ['हमारा']], Type: 'R:PRON'","Orig: [2, 3, ['हमारे']], Cor: [2, 3, ['हमारा']], Type: 'R:PRON'","उत्तम चरित्र-निर्माण हमारे लक्ष्य होने चाहियें।
","उत्तम चरित्र-निर्माण हमारा लक्ष्य होना चाहिए।
",R:PRON,a,b,g,NO,a,NO
1,"Orig: [4, 5, ['होने']], Cor: [4, 5, ['होना']], Type: 'R:VERB-FORM'","Orig: [4, 5, ['होने']], Cor: [4, 5, ['होना']], Type: 'R:VERB'","उत्तम चरित्र-निर्माण हमारे लक्ष्य होने चाहियें।
","उत्तम चरित्र-निर्माण हमारा लक्ष्य होना चाहिए।
",R:VERB-FORM,a,b,a,NO,a,NO
2,"Orig: [5, 6, ['चाहियें']], Cor: [5, 6, ['चाहिए']], Type: 'R:VERB'","Orig: [5, 6, ['चाहियें']], Cor: [5, 6, ['चाहिए']], Type: 'R:VERB'","उत्तम चरित्र-निर्माण हमारे लक्ष्य होने चाहियें।
","उत्तम चरित्र-निर्माण हमारा लक्ष्य होना चाहिए।
",R:VERB,a,g ,g,NO,a,NO
3,"Orig: [0, 2, ['केवल', 'यहाँ']], Cor: [0, 2, ['यहाँ', 'केवल']], Type: 'R:WO'","Orig: [0, 2, ['केवल', 'यहाँ']], Cor: [0, 2, ['यहाँ', 'केवल']], Type: 'R:WO'","केवल यहाँ चाई पुस्तकें रखी हैं।
","यहाँ केवल चार पुस्तकें रखी हैं।
",R:WO,a,g,g,NO,a,NO
4,"Orig: [2, 3, ['चाई']], Cor: [2, 3, ['चार']], Type: 'R:OTHER'","Orig: [2, 3, ['चाई']], Cor: [2, 3, ['चार']], Type: 'R:OTHER'","केवल यहाँ चाई पुस्तकें रखी हैं।
","यहाँ केवल चार पुस्तकें रखी हैं।
",R:OTHER,a,g,g,NO,a,NO
5,"Orig: [1, 2, ['केलिए']], Cor: [1, 2, ['के']], Type: 'R:SPELL'","Orig: [1, 2, ['केलिए']], Cor: [1, 2, ['के']], Type: 'R:SPELL'","राधा केलिए एक व्याकरण की पुस्तक ले आना।
","राधा के लिए व्याकरण की एक पुस्तक ले आना।
",R:SPELL,a,g,g,NO,a,NO
6,"Orig: [2, 3, ['एक']], Cor: [2, 3, ['लिए']], Type: 'R:OTHER'","Orig: [2, 3, ['एक']], Cor: [2, 3, ['लिए']], Type: 'R:OTHER'","राधा केलिए एक व्याकरण की पुस्तक ले आना।
","राधा के लिए व्याकरण की एक पुस्तक ले आना।
",R:OTHER,a,g,g,NO,a,NO
7,"Orig: [5, 5, []], Cor: [5, 6, ['एक']], Type: 'M:ADJ'","Orig: [5, 5, []], Cor: [5, 6, ['एक']], Type: 'M:ADJ'","राधा केलिए एक व्याकरण की पुस्तक ले आना।
","राधा के लिए व्याकरण की एक पुस्तक ले आना।
",M:ADJ,a,g,g,NO,a,NO
8,"Orig: [2, 2, []], Cor: [2, 3, [""'""]], Type: 'M:PUNCT'","Orig: [2, 2, []], Cor: [2, 3, [""'""]], Type: 'M:PUNCT'","प्रस्तुत पंक्तियाँ सरोज स्मृति से ली हैं।
","प्रस्तुत पंक्तियाँ 'सरोज स्मृति' से ली गयी हैं।
",M:PUNCT,a,g,g,NO,a,NO
9,"Orig: [4, 4, []], Cor: [5, 6, [""'""]], Type: 'M:PUNCT'","Orig: [4, 4, []], Cor: [5, 6, [""'""]], Type: 'M:PUNCT'","प्रस्तुत पंक्तियाँ सरोज स्मृति से ली हैं।
","प्रस्तुत पंक्तियाँ 'सरोज स्मृति' से ली गयी हैं।
",M:PUNCT,a,g,g,NO,a,NO
