,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
0,"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसके']], Type: 'R:PRON'","Orig: [0, 1, 'उसका'], Cor: [0, 1, 'उसके'], Type: 'R:PRON:INFL'","उसका लड़के का नाम राज है।
","उसके लड़के का नाम राज है।
",R:PRON,R:PRON,g,a,YES,g,NO
1,"Orig: [0, 1, ['उसको']], Cor: [0, 1, ['उसके']], Type: 'R:PRON'","Orig: [0, 1, 'उसको'], Cor: [0, 1, 'उसके'], Type: 'R:PRON:INFL'","उसको पेट में दर्द हो रहा है।
","उसके पेट में दर्द हो रहा है।
",R:PRON,R:PRON,a,a,NO,a,NO
2,"Orig: [1, 2, ['से']], Cor: [1, 2, ['पर']], Type: 'R:ADP'","Orig: [1, 2, 'से'], Cor: [1, 2, 'पर'], Type: 'R:ADP'","बच्चों से गुस्सा करना व्यर्थ है।
","बच्चों पर गुस्सा करना व्यर्थ है।
",R:ADP,R:ADP,g,a,YES,g,NO
3,"Orig: [2, 3, ['से']], Cor: [2, 3, ['में']], Type: 'R:ADP'","Orig: [2, 3, 'से'], Cor: [2, 3, 'में'], Type: 'R:ADP'","वह हँसी से बात टाल गया।
","वह हँसी में बात टाल गया।
",R:ADP,R:ADP,g,a,YES,g,NO
4,"Orig: [1, 2, ['को']], Cor: [1, 2, ['से']], Type: 'R:ADP'","Orig: [1, 2, 'को'], Cor: [1, 2, 'से'], Type: 'R:ADP'","दीन-दुर्बलों को प्यार करना मानवता है।
","दीन-दुर्बलों से प्यार करना मानवता है।
",R:ADP,R:ADP,g,a,YES,g,NO
5,"Orig: [1, 2, ['को']], Cor: [1, 2, ['के']], Type: 'R:ADP-INFL'","Orig: [1, 2, 'को'], Cor: [1, 2, 'के'], Type: 'R:ADP'","दशरथ को चार पुत्र थे।
","दशरथ के चार पुत्र थे।
",R:ADP,R:ADP-INFL,g,a,NO,g,NO
6,"Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरे']], Type: 'R:PRON'","Orig: [0, 1, 'मेरा'], Cor: [0, 1, 'मेरे'], Type: 'R:PRON:INFL'","मेरा मित्र ने मुझको मदद की।
","मेरे मित्र ने मेरी मदद की।
",R:PRON,R:PRON,g,a,YES,g,NO
7,"Orig: [3, 4, ['मुझको']], Cor: [3, 4, ['मेरी']], Type: 'R:PRON'","Orig: [3, 4, 'मुझको'], Cor: [3, 4, 'मेरी'], Type: 'R:PRON'","मेरा मित्र ने मुझको मदद की।
","मेरे मित्र ने मेरी मदद की।
",R:PRON-GEN,R:PRON,a,a,NO,a,NO
8,"Orig: [0, 1, ['मैं']], Cor: [0, 1, ['मैंने']], Type: 'R:PRON'","Orig: [0, 1, 'मैं'], Cor: [0, 1, 'मैंने'], Type: 'R:PRON:INFL'","मैं खाना नहीं खाया हूँ।
","मैंने खाना नहीं खाया है।
",R:PRON,R:PRON,g,a,YES,g,NO
9,"Orig: [4, 5, ['हूँ']], Cor: [4, 5, ['है']], Type: 'R:VERB-FORM'","Orig: [4, 5, 'हूँ'], Cor: [4, 5, 'है'], Type: 'R:OTHER'","मैं खाना नहीं खाया हूँ।
","मैंने खाना नहीं खाया है।
",R:VERB-TENSE,R:VERB-FORM,g,a,NO,g,NO
10,"Orig: [2, 3, ['को']], Cor: [2, 3, ['में']], Type: 'R:ADP'","Orig: [2, 3, 'को'], Cor: [2, 3, 'में'], Type: 'R:ADP'","दस बजने को पंद्रह मिनट हैं।
","दस बजने में पंद्रह मिनट हैं।
",R:ADP,R:ADP,g,a,YES,g,NO
11,"Orig: [2, 3, ['में']], Cor: [2, 3, ['से']], Type: 'R:ADP'","Orig: [2, 3, 'में'], Cor: [2, 3, 'से'], Type: 'R:ADP'","वह देर में खाना खाता है।
","वह देर से खाना खाता है।
",R:ADP,R:ADP,g,a,YES,g,NO
12,"Orig: [3, 4, ['पर']], Cor: [3, 4, ['में']], Type: 'R:ADP'","Orig: [3, 4, 'पर'], Cor: [3, 4, 'में'], Type: 'R:ADP'","यह बात कहने पर कठिनाई है।
","यह बात कहने में कठिनाई है।
",R:ADP,R:ADP,g,a,YES,g,NO
13,"Orig: [2, 3, ['पर']], Cor: [2, 3, ['में']], Type: 'R:ADP'","Orig: [2, 3, 'पर'], Cor: [2, 3, 'में'], Type: 'R:ADP'","वह ऑफिस पर बैठा मेरी प्रतीक्षा कर रहा है।
","वह ऑफिस में बैठा मेरी प्रतीक्षा कर रहा है।
",R:ADP,R:ADP,g,a,YES,g,NO
14,"Orig: [2, 3, ['द्वारा']], Cor: [2, 3, ['कारण']], Type: 'R:ADP'","Orig: [2, 3, 'द्वारा'], Cor: [2, 3, 'कारण'], Type: 'R:ADP'","शिक्षा के द्वारा वह आगे बढ़ा।
","शिक्षा के कारण वह आगे बढ़ा।
",R:ADP,R:ADP,g,a,YES,g,NO
15,"Orig: [2, 4, ['के', 'बीच']], Cor: [2, 3, ['में']], Type: 'R:ADP'","Orig: [2, 4, 'के बीच'], Cor: [2, 3, 'में'], Type: 'R:MULTI'","कल सभा के बीच इस पर विचार होगा।
","कल सभा में इस पर विचार होगा।
",R:ADP,R:ADP,g,a,YES,b,YES
16,"Orig: [2, 3, ['से']], Cor: [2, 3, ['पर']], Type: 'R:ADP'","Orig: [2, 3, 'से'], Cor: [2, 3, 'पर'], Type: 'R:ADP'",खिड़की खुलने से प्रकाश आएगा।,खिड़की खुलने पर प्रकाश आएगा।,R:ADP,R:ADP,g,a,YES,g,NO
