Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
"Orig: [3, 4, ['????']], Cor: [3, 4, ['????']], Type: 'R:PRON'","???? ?????, ???? ?? ??????
","???? ?????, ???? ?? ??????
",R:PRON,g,a
"Orig: [1, 2, ['????']], Cor: [1, 2, ['????']], Type: 'R:ADV'","?? ???? ????? ???
","?? ???? ????? ???
",R:ADV,g,a
"Orig: [3, 4, ['????']], Cor: [3, 4, ['???']], Type: 'R:ADJ'","???? ????? ?? ???? ?????? ???
","???? ????? ?? ??? ?????? ???
",R:ADV,b,a
"Orig: [1, 3, ['?????', '??']], Cor: [1, 1, []], Type: 'U:OTHER'","?? ????? ?? ???? ?? ?????
","?? ???? ?? ????? ?????
",U:OTHER,g,a
"Orig: [5, 5, []], Cor: [3, 4, ['?????']], Type: 'M:ADV'","?? ????? ?? ???? ?? ?????
","?? ???? ?? ????? ?????
",M:ADV,g,a
"Orig: [2, 3, ['??']], Cor: [2, 2, []], Type: 'U:OTHER'","?? ????? ?? ???? ??? ?? ?????
","?? ????? ???? ??? ?? ?????
",U:OTHER,g,a
"Orig: [2, 3, ['??????']], Cor: [2, 3, ['??????']], Type: 'R:ADP'","?????? ?? ?????? ??????? ?? ????? ???? ??????
","?????? ?? ?????? ??????? ?? ????? ???? ??????
",R:ADV,a,a
"Orig: [2, 3, ['???????']], Cor: [2, 3, ['???????']], Type: 'R:ADJ'","??? ??? ??????? ????? ???
","??? ??? ??????? ????? ???
",R:ADJ,g,a
"Orig: [1, 2, ['????']], Cor: [1, 1, []], Type: 'U:OTHER'","??? ???? ???? ??? ??????? ????
","??? ???? ??? ??????? ????
",U:ADV,b,a
"Orig: [1, 2, ['????']], Cor: [1, 2, ['????']], Type: 'R:DET'","?? ???? ??? ??? ????
","?? ???? ??? ??? ????
",R:ADV,b,a
"Orig: [1, 2, ['???????????']], Cor: [1, 3, ['?????', '??']], Type: 'R:OTHER'","???? ??????????? ??? ?????? ?? ?????
","???? ????? ?? ??? ?????? ?? ?????
",R:ADV,a,a
"Orig: [2, 3, ['????']], Cor: [2, 3, ['???']], Type: 'R:ADJ'","???? ??? ???? ?????? ???
","???? ??? ??? ?????? ???
",R:ADV,b,a
"Orig: [5, 7, ['??', '??']], Cor: [5, 7, ['?????', '??']], Type: 'R:PRON'","?????? ?? ?????? ??, ?? ?? ????? ??????? ???? ?????
","?????? ?? ?????? ??, ????? ?? ????? ??????? ???? ?????
",R:OTHER,a,b
"Orig: [3, 4, ['???????']], Cor: [3, 4, ['????']], Type: 'R:OTHER'","????? ???? ??? ??????? ?? ??? ??? ????
","????? ???? ??? ???? ?? ??? ??? ????
",R:ADV,b,a
"Orig: [3, 3, []], Cor: [3, 4, ['????']], Type: 'M:DET'","????? ???? ?????? ??? ???? ?????
","????? ???? ?????? ???? ?? ???? ?????
",M:DET,g,a
"Orig: [3, 4, ['???']], Cor: [4, 5, ['??']], Type: 'R:OTHER'","????? ???? ?????? ??? ???? ?????
","????? ???? ?????? ???? ?? ???? ?????
",R:OTHER,g,a
"Orig: [4, 5, ['??']], Cor: [4, 5, ['??']], Type: 'R:OTHER'",??? ??????? ?? ?????? ?? ????? ??? ??????? ??????,??? ??????? ?? ?????? ?? ????? ??? ??????? ??????,R:CONJ,b,a
