Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
"Orig: [1, 2, ['ने']], Cor: [1, 1, []], Type: 'U:ADP'","शीला ने पढ़ती है।
","शीला पढ़ती है।
",U:ADP,g,a
"Orig: [2, 3, ['को']], Cor: [2, 3, ['से']], Type: 'R:ADP'","उसने राम को पूछा।
","उसने राम से पूछा।
",R:ADP,g,a
"Orig: [3, 5, ['पूछा', '।']], Cor: [3, 4, ['पूछा।']], Type: 'R:ORTH'","उसने राम को पूछा।
","उसने राम से पूछा।
",,,b
"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसके']], Type: 'R:PRON'","उसका लड़के का नाम राज है।
","उसके लड़के का नाम राज है।
",R:PRON,g,a
"Orig: [0, 1, ['उसको']], Cor: [0, 1, ['उसके']], Type: 'R:PRON-GEN'","उसको पेट में दर्द हो रहा है।
","उसके पेट में दर्द हो रहा है।
",R:PRON,a,a
"Orig: [1, 2, ['से']], Cor: [1, 2, ['पर']], Type: 'R:ADP'","बच्चों से गुस्सा करना व्यर्थ है।
","बच्चों पर गुस्सा करना व्यर्थ है।
",R:ADP,g,a
"Orig: [2, 3, ['से']], Cor: [2, 3, ['में']], Type: 'R:ADP'","वह हँसी से बात टाल गया।
","वह हँसी में बात टाल गया।
",R:ADP,g,a
"Orig: [1, 2, ['को']], Cor: [1, 2, ['से']], Type: 'R:ADP'","दीन-दुर्बलों को प्यार करना मानवता है।
","दीन-दुर्बलों से प्यार करना मानवता है।
",R:ADP,g,a
"Orig: [1, 2, ['को']], Cor: [1, 2, ['के']], Type: 'R:ADP'","दशरथ को चार पुत्र थे।
","दशरथ के चार पुत्र थे।
",R:ADP,g,a
"Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरे']], Type: 'R:PRON'","मेरा मित्र ने मुझको मदद की।
","मेरे मित्र ने मेरी मदद की।
",R:PRON,g,a
"Orig: [3, 4, ['मुझको']], Cor: [3, 4, ['मेरी']], Type: 'R:PRON-GEN'","मेरा मित्र ने मुझको मदद की।
","मेरे मित्र ने मेरी मदद की।
",R:PRON-GEN,g,a
"Orig: [5, 5, []], Cor: [5, 6, ['उन्होंने']], Type: 'M:PRON'","पिता जी घर आए और खाना खाया।
","पिता जी घर आए और उन्होंने खाना खाया।
",M:PRON,g,a
"Orig: [0, 1, ['वे']], Cor: [0, 1, ['उन्होंने']], Type: 'R:PRON'","वे अभी-अभी खाना खाए हैं।
","उन्होंने अभी-अभी खाना खाया है।
",R:PRON,g,a
"Orig: [3, 4, ['खाए']], Cor: [3, 4, ['खाया']], Type: 'R:OTHER'","वे अभी-अभी खाना खाए हैं।
","उन्होंने अभी-अभी खाना खाया है।
",R:VERB,b,b
"Orig: [4, 5, ['हैं']], Cor: [4, 5, ['है']], Type: 'R:OTHER'","वे अभी-अभी खाना खाए हैं।
","उन्होंने अभी-अभी खाना खाया है।
",R:VERB,b,b
"Orig: [0, 1, ['मैं']], Cor: [0, 1, ['मैंने']], Type: 'R:PRON'","मैं खाना नहीं खाया हूँ।
","मैंने खाना नहीं खाया है।
",R:PRON,g,a
"Orig: [4, 5, ['हूँ']], Cor: [4, 5, ['है']], Type: 'R:OTHER'","मैं खाना नहीं खाया हूँ।
","मैंने खाना नहीं खाया है।
",R:VERB,b,a
"Orig: [0, 1, ['आपने']], Cor: [0, 1, ['आप']], Type: 'R:PRON'","आपने मुसकरा दिया।
","आप मुसकरा दिए।
",R:PRON,g,a
"Orig: [2, 3, ['दिया']], Cor: [2, 3, ['दिए']], Type: 'R:OTHER'","आपने मुसकरा दिया।
","आप मुसकरा दिए।
",R:VERB,b,a
"Orig: [2, 3, ['को']], Cor: [2, 2, []], Type: 'U:ADP'","मैं बाज़ार को जा रहा हूँ।
","मैं बाज़ार जा रहा हूँ।
",U:ADP,g,a
"Orig: [2, 3, ['को']], Cor: [2, 3, ['में']], Type: 'R:ADP'","दस बजने को पंद्रह मिनट हैं।
","दस बजने में पंद्रह मिनट हैं।
",R:ADP,g,a
"Orig: [2, 3, ['में']], Cor: [2, 3, ['से']], Type: 'R:ADP'","वह देर में खाना खाता है।
","वह देर से खाना खाता है।
",R:ADP,g,a
"Orig: [3, 3, []], Cor: [3, 4, ['का']], Type: 'M:ADP'","उन्होंने एक मित्र परिचय दिया।
","उन्होंने एक मित्र का परिचय दिया।
",M:ADP,g,a
"Orig: [3, 4, ['पर']], Cor: [3, 4, ['में']], Type: 'R:ADP'","यह बात कहने पर कठिनाई है।
","यह बात कहने में कठिनाई है।
",R:ADP,g,a
"Orig: [2, 3, ['पर']], Cor: [2, 3, ['में']], Type: 'R:ADP'","वह ऑफिस पर बैठा मेरी प्रतीक्षा कर रहा है।
","वह ऑफिस में बैठा मेरी प्रतीक्षा कर रहा है।
",R:ADP,g,a
"Orig: [2, 3, ['द्वारा']], Cor: [2, 3, ['कारण']], Type: 'R:ADP'","शिक्षा के द्वारा वह आगे बढ़ा।
","शिक्षा के कारण वह आगे बढ़ा।
",R:ADP,g,a
"Orig: [2, 4, ['के', 'बीच']], Cor: [2, 3, ['में']], Type: 'R:ADP'","कल सभा के बीच इस पर विचार होगा।
","कल सभा में इस पर विचार होगा।
",R:ADP,g,a
"Orig: [2, 3, ['से']], Cor: [2, 3, ['पर']], Type: 'R:ADP'",खिड़की खुलने से प्रकाश आएगा।,खिड़की खुलने पर प्रकाश आएगा।,R:ADP,g,a
