,Incorrect Sentence,Correct Sentence,Proposed Edits
0,"यह हमारा वाला घर है।
","यह हमारा घर है।
","[""Orig: [2, 3, ['वाला']], Cor: [2, 2, []], Type: 'U:'""]"
1,"हाथी बहुत मोटी है।
","हाथी बहुत मोटा है।
","[""Orig: [2, 3, ['मोटी']], Cor: [2, 3, ['मोटा']], Type: 'R:'""]"
2,"राम ने नई कपड़ा खरीदी।
","राम ने नया कपड़ा खरीदा।
","[""Orig: [2, 3, ['नई']], Cor: [2, 3, ['नया']], Type: 'R:'"", ""Orig: [4, 5, ['खरीदी']], Cor: [4, 5, ['खरीदा']], Type: 'R:'""]"
3,"यह हमारे आगामी नेता है।
","यह हमारे भावी नेता हैं।
","[""Orig: [2, 3, ['आगामी']], Cor: [2, 3, ['भावी']], Type: 'R:'"", ""Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:'""]"
4,"यह झील बहुत सघन है।
","यह झील बहुत गहरी है।
","[""Orig: [3, 4, ['सघन']], Cor: [3, 4, ['गहरी']], Type: 'R:'""]"
5,"बाज़ार में वस्तुएँ भारी महँगी हैं।
","बाज़ार में वस्तुएँ महँगी हैं।
","[""Orig: [3, 4, ['भारी']], Cor: [3, 3, []], Type: 'U:'""]"
6,"आपकी रचना श्रेष्ठतम है।
","आपकी रचना श्रेष्ठ है।
","[""Orig: [2, 3, ['श्रेष्ठतम']], Cor: [2, 3, ['श्रेष्ठ']], Type: 'R:'""]"
7,"उसने मोटे-मोटे फल छाँट लिए।
","उसने बड़े-बड़े फल छाँट लिए।
","[""Orig: [1, 2, ['मोटे-मोटे']], Cor: [1, 2, ['बड़े-बड़े']], Type: 'R:'""]"
8,"ताजमहल एक विचित्र मीनार है।
","ताजमहल एक अद्भुत मीनार है।
","[""Orig: [2, 3, ['विचित्र']], Cor: [2, 3, ['अद्भुत']], Type: 'R:'""]"
9,"करन की माँ भारी दुखी है।
","करन की माँ बहुत दुखी है।
","[""Orig: [3, 4, ['भारी']], Cor: [3, 4, ['बहुत']], Type: 'R:'""]"
10,"आकाश बहुत उच्च है।
","आकाश बहुत विशाल है।
","[""Orig: [2, 3, ['उच्च']], Cor: [2, 3, ['विशाल']], Type: 'R:'""]"
11,"प्रत्येक काम अपने समय पर करो।
","प्रत्येक काम नियत समय पर करो।
","[""Orig: [2, 3, ['अपने']], Cor: [2, 3, ['नियत']], Type: 'R:'""]"
12,"खड़ग सिंह विख्यात डाकू था।
","खड़ग सिंह कुख्यात डाकू था।
","[""Orig: [2, 3, ['विख्यात']], Cor: [2, 3, ['कुख्यात']], Type: 'R:'""]"
13,"यहाँ कोई एक व्यक्ति नहीं है।
","यहाँ कोई व्यक्ति नहीं है।
","[""Orig: [2, 3, ['एक']], Cor: [2, 2, []], Type: 'U:'""]"
14,"शेर बड़ा वीभत्स होता है।
","शेर बड़ा भयानक होता है।
","[""Orig: [2, 3, ['वीभत्स']], Cor: [2, 3, ['भयानक']], Type: 'R:'""]"
15,"आज दिन भर बेशुमार गरमी रही।
","आज दिनभर बहुत गरमी रही।
","[""Orig: [1, 3, ['दिन', 'भर']], Cor: [1, 2, ['दिनभर']], Type: 'R:'"", ""Orig: [3, 4, ['बेशुमार']], Cor: [2, 3, ['बहुत']], Type: 'R:'""]"
16,पुस्तकालय सड़क के बायाँ ओर है।,पुस्तकालय सड़क की बाईं ओर है।,"[""Orig: [2, 3, ['के']], Cor: [2, 3, ['की']], Type: 'R:'"", ""Orig: [3, 4, ['बायाँ']], Cor: [3, 4, ['बाईं']], Type: 'R:'""]"
