Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
"Orig: [7, 8, ['??????']], Cor: [7, 8, ['???????']], Type: 'R:ADJ'","??? ??????? ??????? ?? ??? ?? ?????? ?????? ???? ????
","??? ??????? ??????? ?? ??? ?? ?????? ??????? ???? ????
",R:VERB,b,a
"Orig: [7, 8, ['???']], Cor: [7, 8, ['????']], Type: 'R:VERB-NUM'","???? ???? ??? ?? ??? ???? ???? ??? ??? ?
","???? ???? ??? ?? ??? ???? ???? ???? ?? ?
",R:VERB-NUM,g,a
"Orig: [8, 9, ['???']], Cor: [8, 9, ['??']], Type: 'R:VERB-NUM'","???? ???? ??? ?? ??? ???? ???? ??? ??? ?
","???? ???? ??? ?? ??? ???? ???? ???? ?? ?
",R:VERB-NUM,g,a
"Orig: [5, 6, ['????']], Cor: [5, 6, ['????']], Type: 'R:VERB'","??? ????? ?? ?? ??? ???? ????? ?
","??? ????? ?? ?? ??? ???? ????? ?
",R:VERB-NUM,a,a
"Orig: [2, 3, ['???']], Cor: [2, 3, ['????']], Type: 'R:VERB-NUM'","?????? ?? ??? ???? ?????
","?????? ?? ???? ???? ?????
",R:VERB-NUM,g,a
"Orig: [4, 5, ['????']], Cor: [4, 5, ['????']], Type: 'R:VERB-NUM'","?????? ?? ??? ???? ?????
","?????? ?? ???? ???? ?????
",R:VERB-NUM,g,a
"Orig: [0, 1, ['????']], Cor: [0, 1, ['????']], Type: 'R:PRON'","???? ????? ???? ??? ???
","???? ????? ???? ??? ????
",R:PRON,g,a
"Orig: [3, 4, ['???']], Cor: [3, 4, ['???']], Type: 'R:VERB-NUM'","???? ????? ???? ??? ???
","???? ????? ???? ??? ????
",R:VERB-NUM,g,a
"Orig: [4, 5, ['??']], Cor: [4, 5, ['???']], Type: 'R:VERB-NUM'","???? ????? ???? ??? ???
","???? ????? ???? ??? ????
",R:VERB-NUM,g,a
"Orig: [3, 4, ['?????']], Cor: [3, 4, ['?????']], Type: 'R:VERB'","???? ???????? ???? ????? ??????
","???? ???????? ???? ????? ??????
",R:VERB,g,a
"Orig: [2, 3, ['??']], Cor: [2, 3, ['??']], Type: 'R:ADP'","????? ??????? ?? ?????? ????? ????
","????? ??????? ?? ?????? ???? ????
",R:ADP,g,a
"Orig: [4, 5, ['?????']], Cor: [4, 5, ['????']], Type: 'R:VERB'","????? ??????? ?? ?????? ????? ????
","????? ??????? ?? ?????? ???? ????
",R:VERB,g,a
"Orig: [7, 8, ['????']], Cor: [7, 8, ['???']], Type: 'R:VERB'","?????? ????? ?? ????? ????? ?? ?????? ???? ???
","?????? ????? ?? ????? ????? ?? ?????? ??? ????
",R:VERB,g,a
"Orig: [8, 9, ['??']], Cor: [8, 9, ['???']], Type: 'R:VERB-TENSE'","?????? ????? ?? ????? ????? ?? ?????? ???? ???
","?????? ????? ?? ????? ????? ?? ?????? ??? ????
",R:VERB,a,a
"Orig: [2, 3, ['????????????']], Cor: [2, 3, ['?????????????']], Type: 'R:SPELL'","?? ?????? ???????????? ???? ?? ???
","?? ?????? ????????????? ???? ?? ???
",R:SPELL,g,a
"Orig: [2, 3, ['????']], Cor: [2, 3, ['????']], Type: 'R:VERB'","?? ??? ???? ?? ????? ???
","?? ??? ???? ?? ????? ???
",R:VERB,g,a
"Orig: [1, 2, ['??']], Cor: [1, 2, ['??']], Type: 'R:ADP'","??????? ?? ??? ???? ??????? ?? ?????? ???? ???
","??????? ?? ????? ??????? ?? ?????? ???? ???
",R:ADP,g,a
"Orig: [2, 4, ['???', '????']], Cor: [2, 3, ['?????']], Type: 'R:OTHER'","??????? ?? ??? ???? ??????? ?? ?????? ???? ???
","??????? ?? ????? ??????? ?? ?????? ???? ???
",R:VERB,b,a
"Orig: [7, 8, ['????']], Cor: [6, 7, ['????']], Type: 'R:VERB-GEN'","??????? ?? ??? ???? ??????? ?? ?????? ???? ???
","??????? ?? ????? ??????? ?? ?????? ???? ???
",R:VERB-GEN,g,a
