,Proposed Edit,Incorrect Sentence,Correct Sentence
0,"Orig: [5, 6, ['होनी']], Cor: [5, 6, ['होना']], Type: 'R:VERB-GEN'","हमारा लक्ष्य देश की प्रगति होनी चाहिए।
","हमारा लक्ष्य देश की प्रगति होना चाहिए।
"
1,"Orig: [1, 2, ['आप']], Cor: [1, 2, ['आपने']], Type: 'R:PRON'","क्‍या आप पढ़ लिए हैं?
","क्‍या आपने पढ़ लिया है ?
"
2,"Orig: [3, 4, ['लिए']], Cor: [3, 4, ['लिया']], Type: 'R:VERB:TENSE'","क्‍या आप पढ़ लिए हैं?
","क्‍या आपने पढ़ लिया है ?
"
3,"Orig: [4, 5, ['हैं']], Cor: [4, 5, ['है']], Type: 'R:VERB:TENSE'","क्‍या आप पढ़ लिए हैं?
","क्‍या आपने पढ़ लिया है ?
"
4,"Orig: [3, 4, ['सकोगे']], Cor: [3, 4, ['सकेंगे']], Type: 'R:SPELL'","क्‍या आप आ सकोगे?
","क्‍या आप आ सकेंगे ?
"
5,"Orig: [1, 1, []], Cor: [1, 2, ['ने']], Type: 'M:ADP'","प्रधानाचार्य अध्यापक को बुलाये। 
","प्रधानाचार्य ने अध्यापक को बुलाया।
"
6,"Orig: [3, 4, ['बुलाये']], Cor: [4, 5, ['बुलाया']], Type: 'R:SPELL'","प्रधानाचार्य अध्यापक को बुलाये। 
","प्रधानाचार्य ने अध्यापक को बुलाया।
"
7,"Orig: [0, 0, []], Cor: [0, 1, ['मैंने']], Type: 'M:PRON'","अजय को, विजय को और संजय को कल मैंने साथ-साथ देखा श्षा।
","मैंने अजय, विजय और संजय को कल साथ-साथ देखा था।
"
8,"Orig: [1, 2, ['को']], Cor: [2, 2, []], Type: 'U:ADP'","अजय को, विजय को और संजय को कल मैंने साथ-साथ देखा श्षा।
","मैंने अजय, विजय और संजय को कल साथ-साथ देखा था।
"
9,"Orig: [4, 5, ['को']], Cor: [4, 4, []], Type: 'U:ADP'","अजय को, विजय को और संजय को कल मैंने साथ-साथ देखा श्षा।
","मैंने अजय, विजय और संजय को कल साथ-साथ देखा था।
"
10,"Orig: [9, 10, ['मैंने']], Cor: [8, 8, []], Type: 'U:PRON'","अजय को, विजय को और संजय को कल मैंने साथ-साथ देखा श्षा।
","मैंने अजय, विजय और संजय को कल साथ-साथ देखा था।
"
11,"Orig: [12, 13, ['श्षा।']], Cor: [10, 12, ['था', '।']], Type: 'R:OTHER'","अजय को, विजय को और संजय को कल मैंने साथ-साथ देखा श्षा।
","मैंने अजय, विजय और संजय को कल साथ-साथ देखा था।
"
12,"Orig: [7, 8, ['बैठी']], Cor: [7, 8, ['बैठे']], Type: 'R:VERB-GEN'","यहाँ पर कल एक लड़का और लड़की बैठी थी।
","यहाँ पर कल एक लड़का और लड़की बैठे थे।
"
13,"Orig: [8, 9, ['थी']], Cor: [8, 9, ['थे']], Type: 'R:VERB-GEN'","यहाँ पर कल एक लड़का और लड़की बैठी थी।
","यहाँ पर कल एक लड़का और लड़की बैठे थे।
"
14,"Orig: [2, 3, ['हमारे']], Cor: [2, 3, ['हमारा']], Type: 'R:PRON'","उत्तम चरित्र-निर्माण हमारे लक्ष्य होने चाहियें।
","उत्तम चरित्र-निर्माण हमारा लक्ष्य होना चाहिए।
"
15,"Orig: [4, 5, ['होने']], Cor: [4, 5, ['होना']], Type: 'R:VERB'","उत्तम चरित्र-निर्माण हमारे लक्ष्य होने चाहियें।
","उत्तम चरित्र-निर्माण हमारा लक्ष्य होना चाहिए।
"
16,"Orig: [5, 6, ['चाहियें']], Cor: [5, 6, ['चाहिए']], Type: 'R:VERB:TENSE'","उत्तम चरित्र-निर्माण हमारे लक्ष्य होने चाहियें।
","उत्तम चरित्र-निर्माण हमारा लक्ष्य होना चाहिए।
"
17,"Orig: [1, 2, ['आयी']], Cor: [1, 2, ['आये']], Type: 'R:VERB-GEN'","पति-पत्नी आयी हैं। 
","पति-पत्नी आये हैं।
"
18,"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसके']], Type: 'R:PRON'","उसका प्राण निकलने वाला है।
","उसके प्राण निकलने वाले हैं।
"
19,"Orig: [3, 4, ['वाला']], Cor: [3, 4, ['वाले']], Type: 'R:VERB-NUM'","उसका प्राण निकलने वाला है।
","उसके प्राण निकलने वाले हैं।
"
20,"Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:VERB-NUM'","उसका प्राण निकलने वाला है।
","उसके प्राण निकलने वाले हैं।
"
21,"Orig: [5, 6, ['आएगा']], Cor: [5, 6, ['आएगी']], Type: 'R:VERB-GEN'","सुरेश को यह धोती पसन्द आएगा।
","सुरेश को यह धोती पसन्द आएगी।
"
22,"Orig: [3, 3, []], Cor: [3, 4, ['हुआ']], Type: 'M:VERB:TENSE'","राम को रोता देखकर हनुमान की आँखों में भी आँसू आ गया।
","राम को रोता हुआ देखकर हनुमान की आँखों में भी आँसू आ गये।
"
23,"Orig: [11, 12, ['गया']], Cor: [12, 13, ['गये']], Type: 'R:VERB-NUM'","राम को रोता देखकर हनुमान की आँखों में भी आँसू आ गया।
","राम को रोता हुआ देखकर हनुमान की आँखों में भी आँसू आ गये।
"
24,"Orig: [0, 0, []], Cor: [0, 1, ['देश']], Type: 'M:NOUN'","भगतसिंह का द्वेश सदा आभारी रहेगा।  
","देश भगतसिंह का सदा आभारी रहेगा।
"
25,"Orig: [2, 3, ['द्वेश']], Cor: [3, 3, []], Type: 'U:NOUN'","भगतसिंह का द्वेश सदा आभारी रहेगा।  
","देश भगतसिंह का सदा आभारी रहेगा।
"
26,"Orig: [0, 2, ['केवल', 'यहाँ']], Cor: [0, 2, ['यहाँ', 'केवल']], Type: 'R:WO'","केवल यहाँ चाई पुस्तकें रखी हैं।
","यहाँ केवल चार पुस्तकें रखी हैं।
"
27,"Orig: [2, 3, ['चाई']], Cor: [2, 3, ['चार']], Type: 'R:SPELL'","केवल यहाँ चाई पुस्तकें रखी हैं।
","यहाँ केवल चार पुस्तकें रखी हैं।
"
28,"Orig: [0, 4, ['गाय', 'को', 'काटकर', 'गाजर']], Cor: [0, 4, ['गाजर', 'काटकर', 'गाय', 'को']], Type: 'R:WO'","गाय को काटकर गाजर खिलाओ।
","गाजर काटकर गाय को खिलाओ।
"
29,"Orig: [0, 1, ['हमारे']], Cor: [0, 0, []], Type: 'U:PRON'","हमारे बैल इधर-डधर भटकते हुए पड़ोसियों के खेत में जा पहुंचे।
","इधर-उधर भटकते हुए हमारे बैल पड़ोसियों के खेत में जा पहुँचे।
"
30,"Orig: [1, 3, ['बैल', 'इधर-डधर']], Cor: [0, 1, ['इधर-उधर']], Type: 'R:NOUN'","हमारे बैल इधर-डधर भटकते हुए पड़ोसियों के खेत में जा पहुंचे।
","इधर-उधर भटकते हुए हमारे बैल पड़ोसियों के खेत में जा पहुँचे।
"
31,"Orig: [5, 5, []], Cor: [3, 5, ['हमारे', 'बैल']], Type: 'M:OTHER'","हमारे बैल इधर-डधर भटकते हुए पड़ोसियों के खेत में जा पहुंचे।
","इधर-उधर भटकते हुए हमारे बैल पड़ोसियों के खेत में जा पहुँचे।
"
32,"Orig: [10, 11, ['पहुंचे']], Cor: [10, 11, ['पहुँचे']], Type: 'R:VERB:TENSE'","हमारे बैल इधर-डधर भटकते हुए पड़ोसियों के खेत में जा पहुंचे।
","इधर-उधर भटकते हुए हमारे बैल पड़ोसियों के खेत में जा पहुँचे।
"
33,"Orig: [0, 3, ['एक', 'फूलों', 'की']], Cor: [0, 3, ['फूलों', 'की', 'एक']], Type: 'R:WO'","एक फूलों की माला ले आइए।
","फूलों की एक माला ले आइए।
"
34,"Orig: [0, 2, ['पुस्तकें', 'ये']], Cor: [0, 2, ['ये', 'पुस्तकें']], Type: 'R:WO'","पुस्तकें ये किसकी हैं ?
","ये पुस्तकें किसकी हैं ?
"
35,"Orig: [1, 2, ['केलिए']], Cor: [1, 2, ['के']], Type: 'R:ADP'","राधा केलिए एक व्याकरण की पुस्तक ले आना।
","राधा के लिए व्याकरण की एक पुस्तक ले आना।
"
36,"Orig: [2, 3, ['एक']], Cor: [2, 3, ['लिए']], Type: 'R:ADP'","राधा केलिए एक व्याकरण की पुस्तक ले आना।
","राधा के लिए व्याकरण की एक पुस्तक ले आना।
"
37,"Orig: [5, 5, []], Cor: [5, 6, ['एक']], Type: 'M:ADJ'","राधा केलिए एक व्याकरण की पुस्तक ले आना।
","राधा के लिए व्याकरण की एक पुस्तक ले आना।
"
38,"Orig: [4, 7, ['एक', 'फूलों', 'की']], Cor: [4, 7, ['फूलों', 'की', 'एक']], Type: 'R:WO'","उसने उसके गले में एक फूलों की माला डाल दी।
","उसने उसके गले में फूलों की एक माला डाल दी।
"
